Label,Brand,Name,Price,Rank,Ingredients,Combination,Dry,Normal,Oily,Sensitive,Brand_Name,Product,Review Count,URL,Rating,SPF,Acne,Brightening,Hydration,Anti_Aging
cleanser,caudalie,instant foaming cleanser,30.0,4.3,"water, glycerin, sodium cocoyl glutamate, cocamidopropyl betaine, caprylyl/capryl glucoside, sodium chloride, citric acid, caprylyl glycol, fragrance, coco-betaine, potassium sorbate, sodium methyl cocoyl taurate, sodium cocoyl isethionate, sodium phytate, matricaria flower extract, sage leaf extract, grape fruit extract, sodium benzoate, butylphenyl methylpropional, linalool, citronellol.",1,1,1,1,1,caudalie instant foaming cleanser,Caudalie Instant Foaming Cleanser,1124,https://www.amazon.com/Instant-Foaming-Cleanser-Skin-Types/dp/B07C54GJX9/ref=sr_1_48,4.4,0,0,0,1,0
moisturizer,dior,capture totale dreamskin advanced,148.99,4.3,visit the dior boutique,1,1,1,1,1,dior capture totale dreamskin advanced,Christian Dior Capture Totale Dreamskin Advanced Global Age-Defying Skincare Perfect Skin Creator 50ml/1.7oz,2,https://www.amazon.com/kurisutyandyio-ru-Christian-kaputyu-ru-Advanced-parallel/dp/B06Y67R95H/ref=sr_1_2,4.6,0,0,0,0,0
moisturizer,dior,capture youth age-delay advanced creme,139.95,3.9,visit the dior boutique,1,1,1,1,1,dior capture youth age-delay advanced creme,Christian Dior Capture Youth Age-Delay Advanced Creme 50ml/1.7oz,90,https://www.amazon.com/Christian-Dior-Capture-Age-Delay-Advanced/dp/B079CCVVWL/ref=sr_1_22,4.4,0,0,0,0,0
cleanser,clinique,acne solutions clarifying lotion,22.0,4.4,"water , alcohol denat. , nylon-12 , butylene glycol , hamamelis virginiana (witch hazel) , laminaria saccharina extract , caffeine , sucrose , glycerin , acetyl glucosamine , sorbitol , sea whip extract , barium sulfate , 10-hydroxydecanoic acid , silica , disodium edta , benzalkonium chloride",1,1,1,1,0,clinique acne solutions clarifying lotion,Clinique Acne Solutions Clarifying Lotion Exfoliating Facial Toner With Salicylic Acid | Reduces Oil + Unclogs Pores,1488,https://www.amazon.com/sspa/click,Previous,0,0,0,1,0
treatment,clinique,acne solutions clinical clearing gel,19.55,4.2,"alcohol denat. , water , acrylates/c10-30 alkyl acrylate crosspolymer , hamamelis virginiana (witch hazel) , laminaria saccharina extract , sea whip extract , butylene glycol , benzalkonium chloride",1,1,1,1,0,clinique acne solutions clinical clearing gel,Clinique Acne Solutions Clinical Clearing Gel Acne Treatment With Witch Hazel + Salicylic Acid For Very Dry to Oily Skin Types,217,https://www.amazon.com/sspa/click,4.4,0,0,0,0,0
cleanser,clinique,liquid facial soap,43.0,4.4,"water, sodium laureth sulfate, sodium chloride, cocamidopropyl hydroxysultaine, lauramidopropyl betaine, sodium cocoyl sarcosinate, tea-cocoyl glutamate, di-ppg-2 myreth-10 adipate, aloe barbadensis leaf juice, peg-120 methyl glucose dioleate, sucrose, sodium hyaluronate, cetyl triethylmonium dimethicone peg-8 succinate, butylene glycol, hexylene glycol, polyquaternium-7, laureth-2, caprylyl glycol, sodium sulfate, tocopheryl acetate, edta, disodium edta, phenoxyethanol please be aware that ingredient lists may change or vary from time to time. please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",1,1,1,1,1,clinique liquid facial soap,"Clinique All About Clean Liquid Gentle Facial Cleanser Soap For Dry Combination Skin Types, Mild",622,https://www.amazon.com/sspa/click,4.8,0,0,0,0,0
cleanser,clinique,rinse-off foaming cleanser,23.8,4.6,"water , potassium myristate , glycerin , potassium behenate , sodium methyl cocoyl taurate , potassium palmitate , potassium laurate , potassium sterate , peg-3 distearate , cholesteryl hydroxystearate , butylene glycol , sodium hyaluronate , trisodium edta , disodium edta , phenoxyethanol , ext. violet 2 (ci 60730) , red 4 (ci 14700)",0,0,0,0,0,clinique rinse-off foaming cleanser,Clinique All About Clean Rinse-Off Foaming Facial Cleanser With Hyaluronic Acid + Glycerin For Oily Skin Types | Dissolves Makeup + Sunscreen,278,https://www.amazon.com/sspa/click,4.4,0,0,0,1,0
cleanser,clinique,rinse-off foaming cleanser,28.0,4.6,"water , potassium myristate , glycerin , potassium behenate , sodium methyl cocoyl taurate , potassium palmitate , potassium laurate , potassium sterate , peg-3 distearate , cholesteryl hydroxystearate , butylene glycol , sodium hyaluronate , trisodium edta , disodium edta , phenoxyethanol , ext. violet 2 (ci 60730) , red 4 (ci 14700)",0,0,0,0,0,clinique rinse-off foaming cleanser,"Clinique All About Clean Rinse-Off Foaming Facial Cleanser With Hyaluronic Acid + Glycerin For Oily Skin Types | Dissolves Makeup + Sunscreen, 5 fl. oz.",206,https://www.amazon.com/Clinique-Rinse-Off-Hyaluronic-Dissolves-Sunscreen/dp/B00BNAOZXO/ref=sr_1_20,4.7,0,0,0,1,0
cleanser,clinique,rinse-off foaming cleanser,8.0,4.6,"water , potassium myristate , glycerin , potassium behenate , sodium methyl cocoyl taurate , potassium palmitate , potassium laurate , potassium sterate , peg-3 distearate , cholesteryl hydroxystearate , butylene glycol , sodium hyaluronate , trisodium edta , disodium edta , phenoxyethanol , ext. violet 2 (ci 60730) , red 4 (ci 14700)",0,0,0,0,0,clinique rinse-off foaming cleanser,"Clinique All About Clean Rinse-Off Foaming Facial Cleanser With Hyaluronic Acid + Glycerin For Oily Skin Types | Dissolves Makeup + Sunscreen, Mini Travel Size, 1 fl. oz.",50,https://www.amazon.com/Clinique-Rinse-Off-Foaming-Cleanser-Travel/dp/B0CTGKDYCP/ref=sr_1_21,4.4,0,0,0,1,0
eye cream,clinique,all about eyes,56.1,4.1,"cyclopentasiloxane , water , isostearyl palmitate , polyethylene , butylene glycol , polysilicone-11 , ethylene/acrylic acid copolymer , morus bombycis (mulberry) root extract , caffeine , phytosphingosine , triticum vulgare (wheat) bran extract , scutellaria baicalensis root extract , whey protein/lactis protein/proteine du petit-lait , olea europaea (olive) fruit extract , camellia sinensis (green tea) leaf extract , cholesterol , linoleic acid , tocopheryl acetate , magnesium ascorbyl phosphate , pyridoxine dipalmitate , sucrose , glycerin , dimethicone , glyceryl laurate , peg/ppg-18/18 dimethicone , petrolatum , cetyl peg/ppg-10/1 dimethicone , propylene carbonate , sodium chloride , quaternium-90 bentonite , disodium edta , phenoxyethanol , iron oxides (ci 77491, ci 77492, ci 77499)",1,1,1,1,1,clinique all about eyes,"Clinique All About Eyes Lightweight Eye Cream With Vitamin C | Hydrating, Brightening, Depuffing + Dark Circle Reducing",921,https://www.amazon.com/sspa/click,Next,0,0,0,1,0
eye cream,clinique,all about eyes,55.98,4.1,"cyclopentasiloxane , water , isostearyl palmitate , polyethylene , butylene glycol , polysilicone-11 , ethylene/acrylic acid copolymer , morus bombycis (mulberry) root extract , caffeine , phytosphingosine , triticum vulgare (wheat) bran extract , scutellaria baicalensis root extract , whey protein/lactis protein/proteine du petit-lait , olea europaea (olive) fruit extract , camellia sinensis (green tea) leaf extract , cholesterol , linoleic acid , tocopheryl acetate , magnesium ascorbyl phosphate , pyridoxine dipalmitate , sucrose , glycerin , dimethicone , glyceryl laurate , peg/ppg-18/18 dimethicone , petrolatum , cetyl peg/ppg-10/1 dimethicone , propylene carbonate , sodium chloride , quaternium-90 bentonite , disodium edta , phenoxyethanol , iron oxides (ci 77491, ci 77492, ci 77499)",1,1,1,1,1,clinique all about eyes,"Clinique All About Eyes Rich Eye Cream For Dark Circles With Hyaluronic Acid | Hydrating, Brightening + Depuffing, 1 fl. oz.",713,https://www.amazon.com/sspa/click,4.5,0,0,0,1,0
