Cosmetic Products Regulation, Annex II - Prohibited Substances
Note: Group entries are split in different rows.
Export date: 10/10/2024 21:22:23
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Substance Identification"	""	""	""	""	""	
"Name"	"EC No."	"CAS No."	"Ref No."	"Name"	"EC Number"	"CAS"	"Molecular formula"	"Expressed As"	"Product type, body parts"	"Maximum Threshold"	"Restriction(s)"	"Notes"	
"3(or5)-[[4-[(7-amino-1-hydroxy-3-sulphonato-2-naphthyl)azo]-1-naphthyl]azo]salicylic acid"	"-"	"-"	"1266"	"3(or5)-[[4-[(7-amino-1-hydroxy-3-sulphonato-2-naphthyl)azo]-1-naphthyl]azo]salicylic acid"	""	""	""	""	"Hair dye products"	"0 %"	""	""	
"3(or 5)-((4-(Benzylmethylamino)phenyl)azo)-1,2(or 1,4)-dimethyl-1H-1,2,4-triazolium bromide"	"289-660-0"	"89959-98-8"	"1259"	"3(or 5)-((4-(Benzylmethylamino)phenyl)azo)-1,2(or 1,4)-dimethyl-1H-1,2,4-triazolium bromide"	"289-660-0"	"89959-98-8"	""	""	"Hair dye products"	"0 %"	""	""	
"3(or 5)-((4-(Benzylmethylamino)phenyl)azo)-1,2(or 1,4)-dimethyl-1H-1,2,4-triazolium"	"-"	"-"	"1259"	"3(or 5)-((4-(Benzylmethylamino)phenyl)azo)-1,2(or 1,4)-dimethyl-1H-1,2,4-triazolium"	""	""	""	""	"Hair dye products"	"0 %"	""	""	
"3'-Ethyl-5',6',7',8'-tetrahydro-5',5',8',8'-tetramethyl-2'-acetonaphthone"	"201-817-7"	"88-29-9"	"362"	"3&#39;-Ethyl-5&#39;,6&#39;,7&#39;,8&#39;-tetrahydro-5&#39;,5&#39;,8&#39;,8&#39;-tetramethyl-2&#39;-acetonaphthone"	"201-817-7"	"88-29-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"3',6'-Dihydroxy-4',5'-diiodospiro(isobenzofuran-1(3H),9'-(9H)xanthen)-3-one, disodium salt"	"251-419-2"	"33239-19-9"	"1336"	"3&#39;,6&#39;-Dihydroxy-4&#39;,5&#39;-diiodospiro(isobenzofuran-1(3H),9&#39;-(9H)xanthen)-3-one, disodium salt"	"251-419-2"	"33239-19-9"	""	""	"Hair dye products"	"0 %"	""	""	
"3',6 '-Dihydroxy-4',5'-diiodospiro(isobenzofuran-1(3H),9'-[9H]xanthene)-3-one"	"254-010-7"	"38577-97-8"	"1336"	"3&#39;,6 &#39;-Dihydroxy-4&#39;,5&#39;-diiodospiro(isobenzofuran-1(3H),9&#39;-[9H]xanthene)-3-one"	"254-010-7"	"38577-97-8"	""	""	"Hair dye products"	"0 %"	""	""	
"2-{4-(2-Ammoniopropylamino)-6-[4-hydroxy-3-(5-methyl-2-methoxy-4-sulfamoylphenylazo)-2-sulfonatonaphth-7-ylamino]-1,3,5-triazin-2-ylamino}-2-aminopropyl formate"	"424-260-3"	"784157-49-9"	"1194"	"2-{4-(2-Ammoniopropylamino)-6-[4-hydroxy-3-(5-methyl-2-methoxy-4-sulfamoylphenylazo)-2-sulfonatonaphth-7-ylamino]-1,3,5-triazin-2-ylamino}-2-aminopropyl formate"	"424-260-3"	"784157-49-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Propenoic acid, 3-(1H-imidazol-4-yl)-, ethyl ester"	"248-515-1"	"27538-35-8"	"418"	"2-Propenoic acid, 3-(1H-imidazol-4-yl)-, ethyl ester"	"248-515-1"	"27538-35-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Pentylidenecyclohexanone"	"247-178-8"	"25677-40-1"	"448"	"2-Pentylidenecyclohexanone"	"247-178-8"	"25677-40-1"	""	""	"Fragrance ingredient"	"0 %"	""	""	
"2-Nitrotoluene"	"201-853-3"	"88-72-2"	"1165"	"2-Nitrotoluene"	"201-853-3"	"88-72-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Nitropropane"	"201-209-1"	"79-46-9"	"683"	"2-Nitropropane"	"201-209-1"	"79-46-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Nitronaphthalene"	"209-474-5"	"581-89-5"	"689"	"2-Nitronaphthalene"	"209-474-5"	"581-89-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Nitroanisole"	"202-052-1"	"91-23-6"	"685"	"2-Nitroanisole"	"202-052-1"	"91-23-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Nitro-p-phenylenediamine"	"226-164-5"	"5307-14-2"	"1319"	"2-Nitro-p-phenylenediamine"	"226-164-5"	"5307-14-2"	""	""	"Hair dye products"	"0 %"	""	""	
"2-Nitro-N-hydroxyethyl-p-anisidine"	"-"	"57524-53-5"	"1287"	"2-Nitro-N-hydroxyethyl-p-anisidine"	""	"57524-53-5"	""	""	"Hair dye products"	"0 %"	""	""	
"2-Nitro-1,4-benzenediamine dihydrochloride"	"242-144-9"	"18266-52-9"	"1319"	"2-Nitro-1,4-benzenediamine dihydrochloride"	"242-144-9"	"18266-52-9"	""	""	"Hair dye products"	"0 %"	""	""	
"2-Naphthylamine"	"202-080-4"	"91-59-8"	"242"	"2-Naphthylamine"	"202-080-4"	"91-59-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Naphthol"	"205-182-7"	"135-19-3"	"241"	"2-Naphthol"	"205-182-7"	"135-19-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Naphthalenesulfonic acid, 7-(benzoylamino)-4-hydroxy-3-[[4-[(4-sulfophenyl)azo]phenyl]azo]-"	"246-727-9"	"25188-42-5"	"1267"	"2-Naphthalenesulfonic acid, 7-(benzoylamino)-4-hydroxy-3-[[4-[(4-sulfophenyl)azo]phenyl]azo]-"	""	"25188-42-5"	""	""	"Hair dye products"	"0 %"	""	""	
"2-Naphthalenesulfonic acid, 7-(benzoylamino)-4-hydroxy-3-((4-((4-sulfophenyl)azo)phenyl)azo)-, disodium salt"	"220-028-9"	"2610-11-9"	"1267"	"2-Naphthalenesulfonic acid, 7-(benzoylamino)-4-hydroxy-3-((4-((4-sulfophenyl)azo)phenyl)azo)-, disodium salt"	"220-028-9"	"2610-11-9"	""	""	"Hair dye products"	"0 %"	""	""	
"2-Naphthalenesulfonic acid, 7,7'-(carbonyldiimino)bis(4-hydroxy-3-[[2-sulfo-4-[(4-sulfophenyl) azo]phenyl]azo]-"	"607-625-3"	"25188-41-4"	"1270"	"2-Naphthalenesulfonic acid, 7,7&#39;-(carbonyldiimino)bis(4-hydroxy-3-[[2-sulfo-4-[(4-sulfophenyl) azo]phenyl]azo]-"	""	"25188-41-4"	""	""	"Hair dye products"	"0 %"	""	""	
"2-Naphthalenesulfonic acid, 7,7'-(carbonyldiimino)bis(4-hydroxy-3-((2-sulfo-4-((4-sulfophenyl)azo)phenyl)azo)-, hexasodium salt"	"220-027-3"	"2610-10-8"	"1270"	"2-Naphthalenesulfonic acid, 7,7&#39;-(carbonyldiimino)bis(4-hydroxy-3-((2-sulfo-4-((4-sulfophenyl)azo)phenyl)azo)-, hexasodium salt"	"220-027-3"	"2610-10-8"	""	""	"Hair dye products"	"0 %"	""	""	
"2-Methylimidazole"	"211-765-7"	"693-98-1"	"1654"	"2-Methylimidazole"	"211-765-7"	"693-98-1"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 1 October 2021"	
"2-Methylheptylamine"	"-"	"540-43-2"	"227"	"2-Methylheptylamine"	""	"540-43-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Methylaziridine"	"200-878-7"	"75-55-8"	"730"	"2-Methylaziridine"	"200-878-7"	"75-55-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Methyl-m-phenylenediamine"	"212-513-9"	"823-40-5"	"413"	"2-Methyl-m-phenylenediamine"	"212-513-9"	"823-40-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Methyl-m-phenylene diisocyanate"	"202-039-0"	"91-08-7"	"1118"	"2-Methyl-m-phenylene diisocyanate"	"202-039-0"	"91-08-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Methyl-5-tert-butylthiophenol"	"444-970-7"	"7340-90-1"	"1478"	"2-Methyl-5-tert-butylthiophenol"	"444-970-7"	""	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Methyl-1-(4-methylthiophenyl)-2-morpholino-propan 1-one"	"400-600-6"	"71868-10-5"	"1592"	"2-Methyl-1-(4-methylthiophenyl)-2-morpholino-propan 1-one"	"400-600-6"	"71868-10-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Methoxypropyl acetate"	"274-724-2"	"70657-70-4"	"679"	"2-Methoxypropyl acetate"	"274-724-2"	"70657-70-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Methoxypropanol"	"216-455-5"	"1589-47-5"	"668"	"2-Methoxypropanol"	"216-455-5"	"1589-47-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Methoxymethyl-p-aminophenol hydrochloride"	"-"	"135043-65-1"	"1216"	"2-Methoxymethyl-p-aminophenol hydrochloride"	""	"135043-65-1"	""	""	"Hair dye products"	"0 %"	""	""	
"2-Methoxymethyl-p-aminophenol"	"841-222-5"	"29785-47-5"	"1216"	"2-Methoxymethyl-p-aminophenol"	""	"29785-47-5"	""	""	"Hair dye products"	"0 %"	""	""	
"2-Methoxyethyl acrylate"	"221-499-3"	"3121-61-7"	"1668"	"2-Methoxyethyl acrylate"	"221-499-3"	"3121-61-7"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 1 March 2022"	
"2-Methoxyethyl acetate"	"203-772-9"	"110-49-6"	"665"	"2-Methoxyethyl acetate"	"203-772-9"	"110-49-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Methoxyethanol"	"203-713-7"	"109-86-4"	"665"	"2-Methoxyethanol"	"203-713-7"	"109-86-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Methoxy-4-nitrophenol"	"221-839-0"	"3251-56-7"	"1251"	"2-Methoxy-4-nitrophenol"	"221-839-0"	"3251-56-7"	""	""	"Hair dye products"	"0 %"	""	""	
"2-Hydroxypropyl ammonium dihydrogen orthoborate"	"268-109-8"	"68003-13-4"	"1396"	"2-Hydroxypropyl ammonium dihydrogen orthoborate"	"268-109-8"	"68003-13-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Ethylphenylhydrazine hydrochloride"	"421-460-2"	"19398-06-2"	"1514"	"2-Ethylphenylhydrazine hydrochloride"	"421-460-2"	"19398-06-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Ethylhexyl[[[3,5-bis(1,1-dimethylethyl)-4-hydroxyphenyl]-methyl]thio]acetate"	"279-452-8"	"80387-97-9"	"680"	"2-Ethylhexyl[[[3,5-bis(1,1-dimethylethyl)-4-hydroxyphenyl]-methyl]thio]acetate"	"279-452-8"	"80387-97-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Ethylhexyl-2-ethylhexanoate"	"231-057-1"	"7425-14-1"	"1491"	"2-Ethylhexyl-2-ethylhexanoate"	"231-057-1"	"7425-14-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Ethylhexyl 10-ethyl-4-[[2-[(2-ethylhexyl)oxy]-2-oxoethyl]thio]-4-methyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate"	"260-828-5"	"57583-34-3"	"1555"	"2-Ethylhexyl 10-ethyl-4-[[2-[(2-ethylhexyl)oxy]-2-oxoethyl]thio]-4-methyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate"	"260-828-5"	"57583-34-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Ethylhexyl 10-ethyl-4,4-dioctyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate"	"239-622-4"	"15571-58-1"	"1556"	"2-Ethylhexyl 10-ethyl-4,4-dioctyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate"	"239-622-4"	"15571-58-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Ethylhexyl 10-ethyl-4,4-dimethyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate"	"260-829-0"	"57583-35-4"	"1567"	"2-Ethylhexyl 10-ethyl-4,4-dimethyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate"	"260-829-0"	"57583-35-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Ethylhexanoic acid, nickel salt"	"231-480-1"	"7580-31-6"	"1460"	"2-Ethylhexanoic acid, nickel salt"	"231-480-1"	"7580-31-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Ethylhexanoic acid"	"205-743-6"	"149-57-5"	"1024"	"2-Ethylhexanoic acid"	"205-743-6"	"149-57-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Ethyl-2-[[(1-oxoallyl)oxy]methyl]-1,3-propanediyl diacrylate"	"239-701-3"	"15625-89-5"	"1718"	"2-Ethyl-2-[[(1-oxoallyl)oxy]methyl]-1,3-propanediyl diacrylate"	"239-701-3"	"15625-89-5"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 1 December 2023"	
"2-Ethoxyethyl acetate"	"203-839-2"	"111-15-9"	"666"	"2-Ethoxyethyl acetate"	"203-839-2"	"111-15-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Ethoxyethanol"	"203-804-1"	"110-80-5"	"666"	"2-Ethoxyethanol"	"203-804-1"	"110-80-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Diethylaminoethyl 3-hydroxy-4-phenylbenzoate"	"222-686-2"	"3572-52-9"	"128"	"2-Diethylaminoethyl 3-hydroxy-4-phenylbenzoate"	"222-686-2"	"3572-52-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Chlorobenzene-1,4-diamine"	"210-441-2"	"615-66-7"	"1384"	"2-Chlorobenzene-1,4-diamine"	"210-441-2"	"615-66-7"	""	""	"Hair dye products, including eyebrow dye products, and eyelash dye products"	"0 %"	"From 22 November 2019 hair dye products, including eyebrow dye products, and eyelash dye products containing those substances shall not be placed on the Union market. From 22 February 2020 hair dye products, including eyebrow dye products, and eyelash dye products containing those substances shall not be made available on the Union market."	""	
"2-Chloro-6-methylpyrimidin-4-yldimethylamine"	"208-622-6"	"535-89-7"	"83"	"2-Chloro-6-methylpyrimidin-4-yldimethylamine"	"208-622-6"	"535-89-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Chloro-6-fluoro-phenol"	"433-890-8"	"2040-90-6"	"1477"	"2-Chloro-6-fluoro-phenol"	"433-890-8"	"2040-90-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Chloro-5-nitro-N-hydroxyethyl-p-phenylenediamine"	"256-652-3"	"50610-28-1"	"1318"	"2-Chloro-5-nitro-N-hydroxyethyl-p-phenylenediamine"	"256-652-3"	"50610-28-1"	""	""	"Hair dye products"	"0 %"	""	""	
"2-Chloro-1,4-phenylenediamine sulphate (1:1)"	"262-915-3"	"61702-44-1"	"1384"	"2-Chloro-1,4-phenylenediamine sulphate (1:1)"	"262-915-3"	"61702-44-1"	""	""	"Hair dye products, including eyebrow dye products, and eyelash dye products"	"0 %"	"From 22 November 2019 hair dye products, including eyebrow dye products, and eyelash dye products containing those substances shall not be placed on the Union market. From 22 February 2020 hair dye products, including eyebrow dye products, and eyelash dye products containing those substances shall not be made available on the Union market."	""	
"2-Chloro-1,4-benzenediamine dihydrochloride"	"210-427-6"	"615-46-3"	"1384"	"2-Chloro-1,4-benzenediamine dihydrochloride"	"210-427-6"	"615-46-3"	""	""	"Hair dye products, including eyebrow dye products, and eyelash dye products"	"0 %"	"From 22 November 2019 hair dye products, including eyebrow dye products, and eyelash dye products containing those substances shall not be placed on the Union market. From 22 February 2020 hair dye products, including eyebrow dye products, and eyelash dye products containing those substances shall not be made available on the Union market."	""	
"2-Chloracetamide"	"201-174-2"	"79-07-2"	"1387"	"2-Chloracetamide"	"201-174-2"	"79-07-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Butyryl-3-hydroxy-5-thiocyclohexan-3-yl-cyclohex-2-en-1-one"	"425-150-8"	"94723-86-1"	"1479"	"2-Butyryl-3-hydroxy-5-thiocyclohexan-3-yl-cyclohex-2-en-1-one"	"425-150-8"	"94723-86-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Butanone oxime"	"202-496-6"	"96-29-7"	"1124"	"2-Butanone oxime"	"202-496-6"	"96-29-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Bromopropane"	"200-855-1"	"75-26-3"	"644"	"2-Bromopropane"	"200-855-1"	"75-26-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Benzyl-2-dimethylamino-4'-morpholinobutyrophenone"	"404-360-3"	"119313-12-1"	"1614"	"2-Benzyl-2-dimethylamino-4&#39;-morpholinobutyrophenone"	"404-360-3"	"119313-12-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Aminophenol hydrochloride"	"621-209-9"	"51-19-4"	"1372"	"2-Aminophenol hydrochloride"	""	"51-19-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Aminophenol"	"202-431-1"	"95-55-6"	"1372"	"2-Aminophenol"	"202-431-1"	"95-55-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Aminomethyl-p-aminophenol dihydrochloride"	"412-510-4"	"135043-64-0"	"1230"	"2-Aminomethyl-p-aminophenol dihydrochloride"	""	"135043-64-0"	""	""	"Hair dye products"	"0 %"	""	""	
"2-Aminomethyl-p-aminophenol"	"616-686-5"	"79352-72-0"	"1230"	"2-Aminomethyl-p-aminophenol"	""	"79352-72-0"	""	""	"Hair dye products"	"0 %"	""	""	
"2-Aminoethanol, monoester with boric acid"	"233-829-3"	"10377-81-8"	"1396"	"2-Aminoethanol, monoester with boric acid"	"233-829-3"	"10377-81-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Amino-5-nitrophenol"	"204-503-8"	"121-88-0"	"384"	"2-Amino-5-nitrophenol"	"204-503-8"	"121-88-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Amino-4-nitrophenol"	"202-767-9"	"99-57-0"	"383"	"2-Amino-4-nitrophenol"	"202-767-9"	"99-57-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-Amino-3-nitrophenol"	"210-060-1"	"603-85-0"	"1317"	"2-Amino-3-nitrophenol"	"210-060-1"	"603-85-0"	""	""	"Hair dye products"	"0 %"	""	""	
"2-Amino-1,2-bis(4-methoxyphenyl)ethanol"	"-"	"530-34-7"	"29"	"2-Amino-1,2-bis(4-methoxyphenyl)ethanol"	""	"530-34-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-[4-Methoxybenzyl-N-(2-pyridyl)amino]ethyldimethylamine maleate"	"200-422-7"	"59-33-6"	"346"	"2-[4-Methoxybenzyl-N-(2-pyridyl)amino]ethyldimethylamine maleate"	"200-422-7"	"59-33-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-[2-Hydroxy-3-(2-chlorophenyl)carbamoyl-1-naphthylazo]-7-[2-hydroxy-3-(3-methylphenyl)carbamoyl-1-naphthylazo] fluoren-9-one"	"420-580-2"	"151798-26-4"	"1156"	"2-[2-Hydroxy-3-(2-chlorophenyl)carbamoyl-1-naphthylazo]-7-[2-hydroxy-3-(3-methylphenyl)carbamoyl-1-naphthylazo] fluoren-9-one"	"420-580-2"	"151798-26-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-[2(4-Chlorophenyl)-2-phenylacetyl]indane-1,3-dione"	"223-003-0"	"3691-35-8"	"93"	"2-[2(4-Chlorophenyl)-2-phenylacetyl]indane-1,3-dione"	"223-003-0"	"3691-35-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-[(4-Chloro-2-nitrophenyl)azo]-N-(2-methoxyphenyl)-3-oxobutanamide"	"236-852-7"	"13515-40-7"	"1262"	"2-[(4-Chloro-2-nitrophenyl)azo]-N-(2-methoxyphenyl)-3-oxobutanamide"	"236-852-7"	"13515-40-7"	""	""	"Hair dye products"	"0 %"	""	""	
"2-[(4-Chloro-2-nitrophenyl)amino]ethanol"	"413-280-8"	"59320-13-7"	"1325"	"2-[(4-Chloro-2-nitrophenyl)amino]ethanol"	""	"59320-13-7"	""	""	"Hair dye products"	"0 %"	""	""	
"2-[(4-Amino-2-nitrophenyl)-amino]-benzoic acid"	"411-260-3"	"117907-43-4"	"1644"	"2-[(4-Amino-2-nitrophenyl)-amino]-benzoic acid"	"411-260-3"	"117907-43-4"	""	""	"Hair and eyelash dye products"	"0 %"	""	"From 3 September 2021 hair and eyelash dye products containing those substances shall not be placed on the Union market. From 3 June 2022 hair and eyelash dye products containing those substances shall not be made available on the Union market"	
"2-(6-Hydroxy-3-oxo-(3H)xanthen-9-yl)benzoic acid"	"219-031-8"	"2321-07-5"	"1332"	"2-(6-Hydroxy-3-oxo-(3H)xanthen-9-yl)benzoic acid"	"219-031-8"	"2321-07-5"	""	""	"Hair dye products"	"0 %"	""	""	
"2-(4-tert-Butylphenyl)ethanol"	"410-020-5"	"5406-86-0"	"1071"	"2-(4-tert-Butylphenyl)ethanol"	"410-020-5"	"5406-86-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-(4-tert-Butylbenzyl) propionaldehyde"	"201-289-8"	"80-54-6"	"1666"	"2-(4-tert-Butylbenzyl) propionaldehyde"	"201-289-8"	"80-54-6"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 1 March 2022"	
"2-(4-Allyl-2-methoxyphenoxy)-N,N-diethylacetamide"	"-"	"305-13-5"	"224"	"2-(4-Allyl-2-methoxyphenoxy)-N,N-diethylacetamide"	""	"305-13-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-(3,6-Dihydroxy-2,4,5,7-tetrabromoxanthen-9-yl)benzoic acid"	"240-005-7"	"15876-39-8"	"1334"	"2-(3,6-Dihydroxy-2,4,5,7-tetrabromoxanthen-9-yl)benzoic acid"	"240-005-7"	"15876-39-8"	""	""	"Hair dye products"	"0 %"	""	""	
"2-(2-Methoxyethoxy)ethanol"	"203-906-6"	"111-77-3"	"1000"	"2-(2-Methoxyethoxy)ethanol"	"203-906-6"	"111-77-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"2-(2-Aminoethylamino)ethanol"	"203-867-5"	"111-41-1"	"1471"	"2-(2-Aminoethylamino)ethanol"	"203-867-5"	"111-41-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"2,7-Naphthalenedisulfonic acid, nickel(II) salt"	"-"	"72319-19-8"	"1460"	"2,7-Naphthalenedisulfonic acid, nickel(II) salt"	""	"72319-19-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"2,7-Naphthalenedisulfonic acid, 5-(acetylamino)-4-hydroxy-3-((2-methylphenyl)azo)-, disodium salt"	"229-231-7"	"6441-93-6"	"1295"	"2,7-Naphthalenedisulfonic acid, 5-(acetylamino)-4-hydroxy-3-((2-methylphenyl)azo)-, disodium salt"	"229-231-7"	"6441-93-6"	""	""	"Hair dye products"	"0 %"	""	""	
"2,6-Dinitrotoluene"	"210-106-0"	"606-20-2"	"692"	"2,6-Dinitrotoluene"	"210-106-0"	"606-20-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"2,6-Dinitrophenol"	"209-357-9"	"573-56-8"	"151"	"2,6-Dinitrophenol"	"209-357-9"	"573-56-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"2,6-Dimethyl-1,3-dioxan-4-yl acetate"	"212-579-9"	"828-00-2"	"368"	"2,6-Dimethyl-1,3-dioxan-4-yl acetate"	"212-579-9"	"828-00-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"2,6-Dihydroxy-4-methylpyridine"	"225-108-7"	"4664-16-8"	"1245"	"2,6-Dihydroxy-4-methylpyridine"	"225-108-7"	"4664-16-8"	""	""	"Hair dye products"	"0 %"	""	""	
"2,6-Dihydroxy-4-methyl-benzaldehyde"	"801-750-9"	"526-37-4"	"1381"	"2,6-Dihydroxy-4-methyl-benzaldehyde"	""	"526-37-4"	""	""	"All cosmetic products"	"0 %"	"From 23 August 2019 cosmetic products containing that substance shall not be placed on the Union marketFrom 23 August 2021 cosmetic products containing that substance shall not be made available on the Union market"	""	
"2,6-Dibromo-4-cyanophenyl octanoate"	"216-885-3"	"1689-99-2"	"1032"	"2,6-Dibromo-4-cyanophenyl octanoate"	"216-885-3"	"1689-99-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"2,6-Bis(2-Hydroxyethoxy)-3,5-pyridinediamine HCl"	"-"	"85679-72-7"	"1215"	"2,6-Bis(2-Hydroxyethoxy)-3,5-pyridinediamine HCl"	""	"85679-72-7"	""	""	"Hair dye products"	"0 %"	""	""	
"2,6-Bis(2-Hydroxyethoxy)-3,5-pyridinediamine"	"-"	"117907-42-3"	"1215"	"2,6-Bis(2-Hydroxyethoxy)-3,5-pyridinediamine"	""	"117907-42-3"	""	""	"Hair dye products"	"0 %"	""	""	
"2,5-Dinitrotoluene"	"210-581-4"	"619-15-8"	"695"	"2,5-Dinitrotoluene"	"210-581-4"	"619-15-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"2,5-Dinitrophenol"	"206-348-1"	"329-71-5"	"151"	"2,5-Dinitrophenol"	"206-348-1"	"329-71-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"2,4-Dinitrotoluene"	"204-450-0"	"121-14-2"	"687"	"2,4-Dinitrotoluene"	"204-450-0"	"121-14-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"2,4-Dinitrophenol"	"200-087-7"	"51-28-5"	"151"	"2,4-Dinitrophenol"	"200-087-7"	"51-28-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"2,4-Dihydroxy-3-methylbenzaldehyde"	"228-369-5"	"6248-20-0"	"428"	"2,4-Dihydroxy-3-methylbenzaldehyde"	"228-369-5"	"6248-20-0"	""	""	"Fragrance ingredient"	"0 %"	""	""	
"2,4-Diaminophenylethanol"	"-"	"14572-93-1"	"407"	"2,4-Diaminophenylethanol"	""	"14572-93-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"2,4-Diaminodiphenylamine"	"680-434-0"	"136-17-4"	"1214"	"2,4-Diaminodiphenylamine"	""	"136-17-4"	""	""	"Hair dye products"	"0 %"	""	""	
"2,4-Diamino-5-methylphenoxyethanol hydrochloride"	"-"	"113715-27-8"	"1314"	"2,4-Diamino-5-methylphenoxyethanol hydrochloride"	""	"113715-27-8"	""	""	"Hair dye products"	"0 %"	""	""	
"2,4-Diamino-5-methylphenoxyethanol"	"-"	"141614-05-3"	"1314"	"2,4-Diamino-5-methylphenoxyethanol"	""	"141614-05-3"	""	""	"Hair dye products"	"0 %"	""	""	
"2,4-Diamino-5-methylphenetole hydrochloride"	"-"	"113715-25-6"	"1227"	"2,4-Diamino-5-methylphenetole hydrochloride"	""	"113715-25-6"	""	""	"Hair dye products"	"0 %"	""	""	
"2,4-Diamino-5-methylphenetole"	"-"	"-"	"1227"	"2,4-Diamino-5-methylphenetole"	""	""	""	""	"Hair dye products"	"0 %"	""	""	
"2,4,6-Trichlorophenol"	"201-795-9"	"88-06-2"	"1111"	"2,4,6-Trichlorophenol"	"201-795-9"	"88-06-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"2,4,6-Tri-tert-butylphenol"	"211-989-5"	"732-26-3"	"1701"	"2,4,6-Tri-tert-butylphenol"	"211-989-5"	"732-26-3"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 1 December 2023"	
"2,4,5-Trimethylaniline hydrochloride"	"-"	"21436-97-5"	"1158"	"2,4,5-Trimethylaniline hydrochloride"	""	"21436-97-5"	""	""	"All cosmetic products"	"0 %"	""	""	
