Cosmetic Products Regulation, Annex II - Prohibited Substances
Note: Group entries are split in different rows.
Export date: 10/10/2024 21:22:23
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Substance Identification"	""	""	""	""	""	
"Name"	"EC No."	"CAS No."	"Ref No."	"Name"	"EC Number"	"CAS"	"Molecular formula"	"Expressed As"	"Product type, body parts"	"Maximum Threshold"	"Restriction(s)"	"Notes"	
"Trichloromethylstannane"	"213-608-8"	"993-16-8"	"1554"	"Trichloromethylstannane"	"213-608-8"	"993-16-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"Trichloroethylene"	"201-167-4"	"79-01-6"	"645"	"Trichloroethylene"	"201-167-4"	"79-01-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"Trichloroacetic acid"	"200-927-2"	"76-03-9"	"10"	"Trichloroacetic acid"	"200-927-2"	"76-03-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"Trichlormethine hydrochloride"	"212-442-3"	"817-09-4"	"327"	"Trichlormethine hydrochloride"	"212-442-3"	"817-09-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Trichlormethine"	"-"	"555-77-1"	"327"	"Trichlormethine"	""	"555-77-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tributyltin compounds"	"-"	"-"	"1581"	"Tributyltin compounds"	""	""	""	""	"All cosmetic products"	"0 %"	""	""	
"Tributyl phosphate"	"204-800-2"	"126-73-8"	"1166"	"Tributyl phosphate"	"204-800-2"	"126-73-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tribromsalan"	"201-723-6"	"87-10-5"	"373"	"Tribromsalan"	"201-723-6"	"87-10-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"Triamterene"	"206-904-3"	"396-01-0"	"275"	"Triamterene"	"206-904-3"	"396-01-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"Triammonium 4-[4-[7-(4-carboxylatoanilino)-1-hydroxy-3-sulfonato-2-naphthylazo]-2,5-dimethoxyphenylazo]benzoate"	"432-270-4"	"221354-37-6"	"1500"	"Triammonium 4-[4-[7-(4-carboxylatoanilino)-1-hydroxy-3-sulfonato-2-naphthylazo]-2,5-dimethoxyphenylazo]benzoate"	"432-270-4"	"221354-37-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"Triadimenol (ISO)"	"259-537-6"	"55219-65-3"	"1609"	"Triadimenol (ISO)"	"259-537-6"	"55219-65-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tretinoin"	"206-129-0"	"302-79-4"	"375"	"Tretinoin"	"206-129-0"	"302-79-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tretamine"	"200-083-5"	"51-18-3"	"328"	"Tretamine"	"200-083-5"	"51-18-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tranylcypromine"	"205-841-9"	"155-09-9"	"324"	"Tranylcypromine"	"205-841-9"	"155-09-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"trans-4-Phenyl-L-proline"	"416-020-1"	"96314-26-0"	"1191"	"trans-4-Phenyl-L-proline"	"416-020-1"	"96314-26-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"Trans-4-cyclohexyl-L-proline monohydro-chloride"	"419-160-1"	"90657-55-9"	"1117"	"Trans-4-cyclohexyl-L-proline monohydro-chloride"	"419-160-1"	"90657-55-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"trans-2-Hexenal dimethyl acetal"	"242-204-4"	"18318-83-7"	"439"	"trans-2-Hexenal dimethyl acetal"	"242-204-4"	"18318-83-7"	""	""	"Fragrance ingredient"	"0 %"	""	""	
"trans-2-Hexenal diethyl acetal"	"266-989-8"	"67746-30-9"	"438"	"trans-2-Hexenal diethyl acetal"	"266-989-8"	"67746-30-9"	""	""	"Fragrance ingredient"	"0 %"	""	""	
"trans-2-Heptenal"	"242-608-0"	"18829-55-5"	"437"	"trans-2-Heptenal"	"242-608-0"	"18829-55-5"	""	""	"Fragrance ingredient"	"0 %"	""	""	
"Tralkoxydim (ISO)"	"618-075-9"	"87820-88-0"	"1570"	"Tralkoxydim (ISO)"	"618-075-9"	"87820-88-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"Toxaphene"	"232-283-3"	"8001-35-2"	"1105"	"Toxaphene"	"232-283-3"	"8001-35-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Toluidinium chloride"	"208-740-8"	"540-23-8"	"1069"	"Toluidinium chloride"	"208-740-8"	"540-23-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"Toluidines, all isomers"	"248-105-2"	"26915-12-8"	"32"	"Toluidines, all isomers"	"248-105-2"	"26915-12-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"Toluidine sulphate (1:1)"	"208-741-3"	"540-25-0"	"1070"	"Toluidine sulphate (1:1)"	"208-741-3"	"540-25-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"Toluene-3,4-Diamine"	"207-826-2"	"496-72-0"	"1313"	"Toluene-3,4-Diamine"	"207-826-2"	"496-72-0"	""	""	"Hair dye products"	"0 %"	""	""	
"Tolbutamide"	"200-594-3"	"64-77-7"	"65"	"Tolbutamide"	"200-594-3"	"64-77-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tolboxane"	"-"	"2430-46-8"	"177"	"Tolboxane"	""	"2430-46-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tiratricol"	"200-086-1"	"51-24-1"	"5"	"Tiratricol"	"200-086-1"	"51-24-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Thyropropic acid"	"-"	"51-26-3"	"9"	"Thyropropic acid"	""	"51-26-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"Thiuram monosulphides"	"202-605-7"	"97-74-5"	"353"	"Thiuram monosulphides"	"202-605-7"	"97-74-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"Thiram"	"205-286-2"	"137-26-8"	"162"	"Thiram"	"205-286-2"	"137-26-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"Thiourea"	"200-543-5"	"62-56-6"	"321"	"Thiourea"	"200-543-5"	"62-56-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"Thiotepa"	"200-135-7"	"52-24-4"	"310"	"Thiotepa"	"200-135-7"	"52-24-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Thiophanate-methyl"	"245-740-7"	"23564-05-8"	"1047"	"Thiophanate-methyl"	"245-740-7"	"23564-05-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"Thioacetamide"	"200-541-4"	"62-55-5"	"742"	"Thioacetamide"	"200-541-4"	"62-55-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"Thiamethoxam (ISO)"	"428-650-4"	"153719-23-4"	"1692"	"Thiamethoxam (ISO)"	"428-650-4"	"153719-23-4"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 17 December 2022"	
"Thiamazole"	"200-482-4"	"60-56-0"	"233"	"Thiamazole"	"200-482-4"	"60-56-0"	""	""	"All cosmetic products"	"0 %"	""	""	
